Date,UserName,Komentar,Like
2025-06-16T05:49:58Z,@WoiCokz,"<a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=26686"">7:24:46</a> nangis wak😹😹😹",1
2025-06-16T05:46:05Z,@kampungkabor2347,Acil gak tau malu bgt😅😂😂,0
2025-06-16T05:44:36Z,@spildikkefiqray,Sutsujin ngetroll mata ngantuk....,0
2025-06-16T05:43:46Z,@MarvinCastuera,CONGRATULATIONS RRQ! KING OF NICE TRY 😂😅,0
2025-06-16T05:37:09Z,@achaksoo,Enjoy banget liat perkembangan savero sama astaga lutpiii di season ini. Semangat onic❤️Semoga bisa membawa pulang piala di kancah internasional❤️,5
2025-06-16T05:35:02Z,@arisriyana7467,Ladis ppq tadi taunting kalah nangis awok kocak🤣,0
2025-06-16T05:30:46Z,@josjosi_7765,KASIH SENANG DULU DI REGULER SEASON<br>DI PLAYOFF BANTAI”,0
2025-06-16T05:29:28Z,@KANGDedy-d5f,PAUS FRANSISCUS BIADAP ..PEMERKISA,0
2025-06-16T05:29:07Z,@josjosi_7765,DREAM TEAM MPL DIKALAHKAN ONIC😂,0
2025-06-16T05:28:51Z,@KANGDedy-d5f,PUKIMAK YESUS BIADAP ..,0
2025-06-16T07:22:41Z,@Hexmouth777,Yesus kan majikannya muhammad. Suka diisepin sama muhammad itu tititnya,0
2025-06-16T07:23:00Z,@Hexmouth777,Gawk gawk gawk,0
2025-06-16T08:25:31Z,@KANGDedy-d5f,YESUS ANJING​@@Hexmouth777,0
2025-06-16T05:28:33Z,@penggunanami,Match 4 toy sangat sombong<br>Di balas kiboy di match akhir 😂,0
2025-06-16T05:25:54Z,@ManikDakismn,"Came for the thumbnail, stayed for the vibes",0
2025-06-16T05:22:21Z,@galaksi-l3k,mau tidur keinget &quot;YSS DISOLO KILL KING SANZ&quot;😂😂😂,0
2025-06-16T05:21:26Z,@penjigg,"Dikasih 3 eh malah minta juara, kurang baik apa lagi coba onic ngasih angka 3 dari pada telur. Mending rrq ikut turnamen indomaret aja, kalo disitu gapapa blunder ga malu maluin",0
2025-06-16T05:17:32Z,@budisusilo5357,"Ppq kalau menang bacotnya, ampunnn, kalau kalah bahas sejarah kayak pendukung MU",0
2025-06-16T05:15:28Z,@ZERONEDSGN,Ga di ff ga di ml onic kasta tertinggi🔥🥶,0
2025-06-16T05:14:02Z,@Kyyy-ov,MANA YANG NGATAIN ONIC BOT MANA SINI NGOMONG LAGI 4-3,0
2025-06-16T05:13:03Z,@clausdr9298,BADUT RRQ KENCANG DI AWAL AMPAS DI FINAL..,0
2025-06-16T05:11:22Z,@ibnunanjar2165,Toyy cuma bisa Granger 😂😂😂😂,0
2025-06-16T05:03:05Z,@CristianPizzolante-g3b,Udah main raja²an?,0
2025-06-16T05:00:50Z,@GomblohSpeed-h4k,Loh mau tanya bang bukanya RRQ dah kalah ya di pertandingan ke 5 semalem ini kok masih ada match 8 lagi lawan onic?🙏,0
2025-06-16T04:44:07Z,@imunkchaster7131,🔥🔥🔥🔥🔥,0
2025-06-16T04:43:00Z,@BaraSenja-u9q,match terakhir kalah draft dan juga mental RRQ dan yang pasti makro sama mikronya hampir setara tapi masih diatas ONIC👏,0
2025-06-16T04:34:32Z,@rendifirmansyah1425,"SPERTI BIASA KONGD*M SI KUNING STUCK RUNNER UP 2 DARI JAMAN M1 SAMPE SEKARANG😂😂😂, PENSYA SDM RENDAH SMUA, yang DI HARAPIN APA COBA😂😂WKWK",1
2025-06-16T04:32:23Z,@Midori_Yuhuzan,"O msc 0 Mseries 0 esl, masih aja di panggil raja dari segala raja🤡, puncak komedi",1
2025-06-16T04:29:48Z,@MamatGunshop-u2p,Bahan debat kingdom sekarang cma ada kata2 selain<br>&quot;Yeb tolongin yeb&quot;<br>&quot;Onic tanpa PH bisa apa&quot;😂😂<br>Emg lucu padahal coach yeb emang bagian onic😂😂,4
2025-06-16T06:49:18Z,@Mingoo0406,RRQ udah dapat Brusko malah jadi tim ampas. Brusko ke ONIC PH langsung juara dunia. Emang manajemen ONIC ini terbaik sih. ga kayak tim yang CEO nya cuma bisa bikin drama &quot;ini waktunya kita bukan onic&quot; abis itu klarifikasi 😂,2
2025-06-16T04:27:35Z,@Athaa57,Badut mpl 🤡,0
2025-06-16T04:26:50Z,@Xerochrys,KING OF COMEBACK IS HERE,0
2025-06-16T04:23:15Z,@RickyRirin-b8z,Tangan kiboi 😢😢😢,0
2025-06-16T04:22:37Z,@NayFPS-1,Evos udah nunggu di m series😮,0
2025-06-16T04:22:36Z,@Lintang_Ayunaby,Tim keprut,0
2025-06-16T04:21:32Z,@KANGDedy-d5f,GAME PUKIMAK CINA BIADAP,0
2025-06-16T04:21:20Z,@Redmi9a-rf7dq,Gelo onic 😮😮,0
2025-06-16T04:20:40Z,@FirmanArifin-t2x,RRQ COSPLAY JADI ARSENAL 😂,0
2025-06-16T04:17:11Z,@fahmslm,ONIC BADUT PH🔥,0
2025-06-16T04:17:07Z,@zeinsky4199,BOCIL² RRQ NAFSU 😂,0
2025-06-16T04:14:29Z,@oumien5885,Biasakan nonton onic sampe akhir,0
2025-06-16T04:13:39Z,@whatsername182,Onic juara tetap ADI OUT<br>Udah jelas emang kaga guna🤣🤣,0
2025-06-16T04:11:48Z,@brendansetiawan7381,"RRQ=ARSENAL 😂, Penjaga tropy orang",0
2025-06-16T04:10:33Z,@MuhammadRadhanAdoFirdaus,keeeeee poookee,0
2025-06-16T04:08:08Z,@zacklyaldio5714,Bagaikan raja yang menginjak landak terus nangis dan kesakitan jadinya kalah🤣🤣🤣🤣🤣,3
2025-06-16T04:07:00Z,@Hilallll_hehe,"Wkwkwk di live kingdom pada koar koar, ehh pas kalah diem aja. 😹😹<br>Btw nt RRQ",0
2025-06-16T04:02:37Z,@shwtyme,4-3 hanya untuk entertain kingdom saja,0
2025-06-16T03:58:07Z,@nonot9764,"info dong, gua kurang update terhadap member2 pemain playoffs, pengen nanya, jam terbang mereka antara orang2 rrq sama onic banyakan yang mana bang?🙏",1
2025-06-16T03:52:59Z,@gilanggtampan8328,"<a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=27936"">7:45:36</a> rambut nya nnael terbang😂😂",0
2025-06-16T04:06:51Z,@ikmal2065,😹,0
